ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12802, str2.length = 12802
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 8.0, str1.length = 12802, str2.length = 12794
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 13.0, str1.length = 12794, str2.length = 12789
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12789, str2.length = 12789
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 44.0, str1.length = 1390, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 6.0, str1.length = 12789, str2.length = 12795
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 18.0, str1.length = 2095, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12795, str2.length = 12795
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 6.0, str1.length = 12795, str2.length = 12789
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12789, str2.length = 12789
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12789, str2.length = 12789
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 23.0, str1.length = 12789, str2.length = 12772
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 12772, str2.length = 12772
ld : 0.0, str1.length = 2078, str2.length = 2078
ld : 0.0, str1.length = 1346, str2.length = 1346
ld : 0.0, str1.length = 0, str2.length = 0
ld : 0.0, str1.length = 0, str2.length = 0
